Hour,Real,Predicted,Residuals
6679.0,138.00000022351742,134.45922446250916,-3.5407757610082626
6680.0,186.5700025856495,136.75116904824972,-49.81883353739977
6681.0,190.05000364780426,175.92741706967354,-14.122586578130722
6682.0,177.99999839812517,177.01772806048393,-0.9822703376412392
6683.0,187.7999918460846,178.02931129932404,-9.770680546760559
6684.0,201.5700031220913,180.68151837587357,-20.888484746217728
6685.0,205.74999743700027,179.48855850845575,-26.26143892854452
6686.0,180.25000043213367,175.8032694607973,-4.446730971336365
6687.0,182.00000309944153,168.81843781471252,-13.181565284729004
6688.0,167.24999736249447,166.55449725687504,-0.6955001056194305
6689.0,152.74999619275331,167.26394565403461,14.5139494612813
6690.0,152.74999619275331,168.17468704283237,15.42469085007906
6691.0,145.50000049173832,155.38072407245636,9.88072358071804
6692.0,128.74999728798866,144.55147759616375,15.801480308175087
6693.0,123.57000423967838,121.41990635544062,-2.1500978842377663
6694.0,116.04999969899654,121.16670774668455,5.116708047688007
6695.0,117.87999992072582,116.82881838083267,-1.0511815398931503
6696.0,112.50000321865082,111.54420337826014,-0.9557998403906822
6697.0,112.74999801814556,108.59557557106018,-4.1544224470853806
6698.0,109.62999571859837,107.45684603601694,-2.1731496825814247
6699.0,108.90999819338322,108.3510702252388,-0.5589279681444168
6700.0,108.20999517291784,109.1982628852129,0.9882677122950554
6701.0,110.92999993264675,113.02320089936256,2.0932009667158127
6702.0,126.57000043988228,121.8759803250432,-4.694020114839077
6703.0,136.00000275671482,128.89907209575176,-7.1009306609630585
6704.0,138.99999895691872,123.2445831745863,-15.75541578233242
6705.0,149.4999954253435,154.36533142626286,4.865336000919342
6706.0,160.00000166147947,160.70765279978514,0.7076511383056641
6707.0,159.74999709427357,162.82213760912418,3.0721405148506165
6708.0,158.74999836087227,162.32521507143974,3.5752167105674744
6709.0,155.49999759346247,160.3172959908843,4.817298397421837
6710.0,151.00000329315662,160.8869000673294,9.886896774172783
6711.0,152.88000442832708,166.64699748158455,13.766993053257465
6712.0,142.4800000190735,161.4853677302599,19.00536771118641
6713.0,145.14000172913074,165.41671518981457,20.276713460683823
6714.0,135.00000402331352,147.5245539844036,12.524549961090088
6715.0,131.49999868869781,131.87949380278587,0.37949511408805847
6716.0,112.74999801814556,120.32582502812147,7.57582700997591
6717.0,113.18000196665525,118.00686295330524,4.82686098664999
6718.0,111.56999990344048,113.49573346227407,1.925733558833599
6719.0,110.75000055134296,109.44290497899055,-1.3070955723524094
6720.0,109.62999571859837,106.12511629611254,-3.5048794224858284
6721.0,102.6299997009337,104.32206518948078,1.6920654885470867
6722.0,106.24999648332596,104.00367687642574,-2.246319606900215
6723.0,95.75000001490116,104.68428122252226,8.934281207621098
6724.0,94.00000223144889,107.32287210971117,13.322869878262281
6725.0,96.12999816611409,107.14255039393902,11.012552227824926
6726.0,94.7300018928945,111.12855796515942,16.39855607226491
6727.0,94.13999795168638,118.33191284537315,24.19191489368677
6728.0,97.47999840974808,119.8057920858264,22.32579367607832
6729.0,102.38000001758337,120.26982674002647,17.889826722443104
6730.0,135.95000184327364,122.53413847088814,-13.415863372385502
6731.0,115.99999878555536,124.05127890408039,8.051280118525028
6732.0,114.19000283628702,123.29699671268463,9.10699387639761
6733.0,120.1499964594841,124.37623111903667,4.226234659552574
6734.0,125.95000474154949,127.77267917990685,1.8226744383573532
6735.0,113.8999994918704,126.56202998757362,12.66203049570322
6736.0,119.18999650329351,126.32154893875122,7.1315524354577065
6737.0,112.67000046372414,126.56451098620892,13.89451052248478
6738.0,115.14000065624714,123.00014620274305,7.8601455464959145
6739.0,110.13999722152948,124.09526290744543,13.955265685915947
6740.0,115.14000065624714,119.46557293832302,4.325572282075882
6741.0,111.2100011408329,120.73791499435902,9.527913853526115
6742.0,110.80000146478415,114.33604965358973,3.53604818880558
6743.0,109.3000033646822,110.93564566969872,1.6356423050165176
6744.0,102.70000000298023,106.73196465522051,4.031964652240276
6745.0,103.8000005632639,105.05690963566303,1.2569090723991394
